# 姓の読みの辞書（Sprint 10。条件④の資産管理会社（推定）の照合に使う参照データ）
#
# 形式: 1行に「姓 読み[,読み…]」。読みはカタカナ。# で始まる行と空行は無視する。
# 収録の範囲: 日本の姓の上位（全国の人数の多い順）およそ 1,000 と、その周辺のよく見る姓。
# 出典: 全国の名字ランキング（名字由来net「全国名字ランキング」、日本の苗字七千傑）の上位の姓を参考に、
#       一般的な読みを記載した（読みは複数あるものを並べる）。各行を出典と1件ずつ照合したものではない。
# 姓は比較の鍵（異体字を新字体にした形。例 髙→高、﨑→崎、澤→沢）で書く。同じ姓が2回出てきたら読みを合わせる。
# 生成: pnpm tsx scripts/generate-surname-readings.mts（supabase/migrations/20261003000000_surname_readings.sql を書き出す）
佐藤 サトウ
鈴木 スズキ
高橋 タカハシ
田中 タナカ
伊藤 イトウ
渡辺 ワタナベ
山本 ヤマモト
中村 ナカムラ
小林 コバヤシ
加藤 カトウ
吉田 ヨシダ
山田 ヤマダ
佐々木 ササキ
山口 ヤマグチ
松本 マツモト
井上 イノウエ
木村 キムラ
林 ハヤシ
斎藤 サイトウ
清水 シミズ
山崎 ヤマザキ,ヤマサキ
森 モリ
池田 イケダ
橋本 ハシモト
阿部 アベ
石川 イシカワ
山下 ヤマシタ
中島 ナカジマ,ナカシマ
石井 イシイ
小川 オガワ
前田 マエダ
岡田 オカダ
長谷川 ハセガワ
藤田 フジタ
後藤 ゴトウ
近藤 コンドウ
村上 ムラカミ
遠藤 エンドウ
青木 アオキ
坂本 サカモト
斉藤 サイトウ
福田 フクダ
太田 オオタ
西村 ニシムラ
藤井 フジイ
金子 カネコ
岡本 オカモト
藤原 フジワラ
中野 ナカノ
三浦 ミウラ
原田 ハラダ
中川 ナカガワ
松田 マツダ
竹内 タケウチ
小野 オノ
田村 タムラ
中山 ナカヤマ
和田 ワダ
石田 イシダ
森田 モリタ
上田 ウエダ
原 ハラ
内田 ウチダ
柴田 シバタ
酒井 サカイ
宮崎 ミヤザキ
横山 ヨコヤマ
高木 タカギ
安藤 アンドウ
宮本 ミヤモト
大野 オオノ
小島 コジマ
谷口 タニグチ
今井 イマイ
工藤 クドウ
高田 タカダ
増田 マスダ
丸山 マルヤマ
杉山 スギヤマ
村田 ムラタ
大塚 オオツカ
新井 アライ
小山 コヤマ,オヤマ
平野 ヒラノ
藤本 フジモト
河野 コウノ,カワノ
上野 ウエノ
野口 ノグチ
武田 タケダ
松井 マツイ
千葉 チバ
岩崎 イワサキ
菅原 スガワラ
木下 キノシタ
